"KOTA,KECAMATAN,CODE,REG,ESTIMASI REG,OKE,ESTIMASI OKE,YES,ORIGIN"
"HuluSungaiSelatan,Kalumpang,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiSelatan,Kandangan,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Banjar,KarangIntan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoSelatan,KarauKuala,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tabalong,Kelua,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,KelumpangHulu,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,KelumpangSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,KelumpangTengah,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,KelumpangUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjar,KertakHanyar,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahLaut,Kintap,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,KotaBaru,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"TanahLaut,Kurau,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,Kuripan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahBambu,KusanHilir,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahBambu,KusanHulu,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,LabuanAmasSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,LabuanAmasUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoUtara,Lahei,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Balangan,Lampihong,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjarbaru,LandasanUlin,BDJ,30000,1 - 2,26000,3 - 5,-,JAKARTA"
"MurungRaya,LaungTuhup,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,Lokpaikat,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiSelatan,Loksado,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,Mandastana,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,Marabahan,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Banjar,Martapura,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Banjar,Mataraman,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoKuala,MekarSari,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoUtara,Montalat,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tabalong,MuaraHarus,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"BaritoUtara,MuaraTeweh,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Tabalong,MuaraUya,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"MurungRaya,Murung,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tabalong,MurungPudak,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
